                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    109,                 0.7883,                0.62695,                0.97317,                0.97723,                      1,                  0.995,                0.79498,                0.85672,                 0.6016,                 1.0186,             0.00077582,             0.00077582,             0.00077582
                    110,                0.71968,                  0.681,                0.89748,                0.98487,                      1,                  0.995,                0.77725,                0.83629,                0.59923,                 1.0148,             0.00076757,             0.00076757,             0.00076757
                    111,                 0.8062,                0.66833,                0.97781,                0.99185,                      1,                  0.995,                0.77563,                0.85744,                0.60131,                 1.0159,             0.00075932,             0.00075932,             0.00075932
                    112,                0.75142,                0.63172,                0.94625,                0.99094,                      1,                  0.995,                0.78012,                0.84312,                0.60241,                0.99779,             0.00075107,             0.00075107,             0.00075107
                    113,                0.80839,                0.69266,                0.92048,                0.98351,                      1,                  0.995,                0.77185,                0.90619,                0.60282,                 1.0069,             0.00074282,             0.00074282,             0.00074282
                    114,                0.75321,                0.67498,                 0.9229,                0.97971,                      1,                  0.995,                 0.7801,                0.87619,                0.60678,                 1.0082,             0.00073456,             0.00073456,             0.00073456
                    115,                0.78518,                0.62674,                0.97715,                0.98016,                      1,                  0.995,                0.79179,                0.82726,                0.60934,                 1.0078,             0.00072631,             0.00072631,             0.00072631
                    116,                0.76662,                0.66034,                0.94332,                0.98686,                      1,                  0.995,                  0.795,                0.82251,                0.59829,                 1.0103,             0.00071806,             0.00071806,             0.00071806
                    117,                0.78904,                0.62791,                 0.9342,                0.98768,                      1,                  0.995,                0.80352,                0.79752,                0.59609,                 1.0074,             0.00070981,             0.00070981,             0.00070981
                    118,                0.74372,                0.61116,                0.91327,                0.98661,                      1,                  0.995,                0.80416,                0.80854,                0.59137,                 1.0108,             0.00070156,             0.00070156,             0.00070156
                    119,                0.77498,                0.60834,                 0.9898,                0.98474,                      1,                  0.995,                0.79652,                0.85029,                0.61077,                  1.018,             0.00069331,             0.00069331,             0.00069331
                    120,                 0.7121,                0.59181,                0.91974,                 0.9826,                      1,                  0.995,                0.80991,                0.80074,                0.58141,                 1.0111,             0.00068505,             0.00068505,             0.00068505
                    121,                0.76011,                0.60121,                0.93712,                0.98195,                      1,                  0.995,                0.79488,                0.79825,                0.56637,                 1.0079,              0.0006768,              0.0006768,              0.0006768
                    122,                0.76008,                0.59546,                0.95855,                0.98262,                      1,                  0.995,                0.80451,                0.81255,                0.55289,                 1.0043,             0.00066855,             0.00066855,             0.00066855
                    123,                0.78176,                0.59917,                0.95754,                0.98702,                      1,                  0.995,                0.78087,                0.88507,                0.59899,                 1.0125,              0.0006603,              0.0006603,              0.0006603
                    124,                0.78431,                0.64428,                0.90889,                0.98908,                      1,                  0.995,                0.78948,                0.84924,                0.58603,                 1.0148,             0.00065205,             0.00065205,             0.00065205
                    125,                0.74254,                0.61219,                0.93413,                0.98864,                      1,                  0.995,                0.79203,                0.81801,                0.56789,                 1.0148,              0.0006438,              0.0006438,              0.0006438
                    126,                0.69569,                0.59598,                0.92325,                0.98782,                      1,                  0.995,                0.78334,                0.82269,                0.57895,                 1.0162,             0.00063554,             0.00063554,             0.00063554
                    127,                0.78491,                0.61572,                0.97477,                0.98795,                      1,                  0.995,                0.77723,                0.84337,                0.59429,                 1.0144,             0.00062729,             0.00062729,             0.00062729
                    128,                0.72998,                0.59871,                0.93007,                0.97842,                 0.9995,                  0.995,                0.80468,                0.80772,                0.58019,                      1,             0.00061904,             0.00061904,             0.00061904
                    129,                0.71027,                0.61482,                0.92481,                0.97679,                      1,                  0.995,                0.80203,                0.82635,                0.57842,                 1.0007,             0.00061079,             0.00061079,             0.00061079
                    130,                0.70515,                0.60031,                0.91642,                0.97731,                      1,                  0.995,                0.79923,                0.82121,                 0.5686,                  1.001,             0.00060254,             0.00060254,             0.00060254
                    131,                0.68355,                0.60339,                0.91882,                0.98138,                      1,                  0.995,                0.75622,                0.87246,                  0.579,                 1.0092,             0.00059429,             0.00059429,             0.00059429
                    132,                0.75281,                0.57197,                0.90571,                0.98637,                      1,                  0.995,                0.79732,                0.83589,                0.56363,                 1.0055,             0.00058603,             0.00058603,             0.00058603
                    133,                0.78011,                0.59543,                0.94905,                0.98698,                      1,                  0.995,                 0.8073,                0.82265,                0.56096,                 1.0023,             0.00057778,             0.00057778,             0.00057778
                    134,                0.75395,                0.60351,                0.92085,                0.98765,                      1,                  0.995,                0.79001,                 0.8687,                0.57563,                 1.0086,             0.00056953,             0.00056953,             0.00056953
                    135,                0.73444,                0.58997,                0.92422,                0.98749,                      1,                  0.995,                0.76978,                0.90788,                 0.5911,                 1.0126,             0.00056128,             0.00056128,             0.00056128
                    136,                0.69606,                0.56083,                0.90246,                0.98697,                      1,                  0.995,                0.80024,                0.84347,                0.55545,                 1.0038,             0.00055303,             0.00055303,             0.00055303
                    137,                0.68818,                0.54974,                0.92492,                0.98571,                      1,                  0.995,                0.80211,                0.83792,                0.55531,                 1.0006,             0.00054478,             0.00054478,             0.00054478
                    138,                0.72958,                 0.5687,                 0.9613,                0.98453,                      1,                  0.995,                0.79506,                0.82147,                0.54636,                0.99586,             0.00053652,             0.00053652,             0.00053652
                    139,                0.65786,                0.53692,                0.89379,                0.98483,                      1,                  0.995,                0.79645,                0.83341,                0.55749,                0.99951,             0.00052827,             0.00052827,             0.00052827
                    140,                0.77036,                0.58232,                 0.9471,                0.98834,                      1,                  0.995,                0.75372,                0.93619,                0.61183,                 1.0211,             0.00052002,             0.00052002,             0.00052002
                    141,                 0.7093,                0.56461,                0.91162,                0.98906,                      1,                  0.995,                0.79433,                0.85687,                0.58777,                 1.0132,             0.00051177,             0.00051177,             0.00051177
                    142,                0.71338,                 0.5738,                 0.9378,                0.98806,                      1,                  0.995,                0.79951,                0.81429,                0.55675,                 1.0042,             0.00050352,             0.00050352,             0.00050352
                    143,                0.72996,                0.55171,                 0.9015,                0.98728,                      1,                  0.995,                0.78487,                0.83913,                0.54382,                 1.0052,             0.00049527,             0.00049527,             0.00049527
                    144,                 0.7545,                0.59929,                0.96974,                0.98448,                      1,                  0.995,                0.81416,                0.79867,                0.55164,                0.99808,             0.00048701,             0.00048701,             0.00048701
                    145,                0.69953,                0.53856,                0.92343,                 0.9835,                      1,                  0.995,                0.78333,                0.87724,                 0.5768,                 1.0095,             0.00047876,             0.00047876,             0.00047876
                    146,                0.75833,                0.55074,                0.93057,                0.98378,                      1,                  0.995,                0.75661,                0.95048,                0.59413,                 1.0185,             0.00047051,             0.00047051,             0.00047051
                    147,                0.80087,                0.59054,                0.94068,                0.98278,                      1,                  0.995,                0.76017,                0.92145,                0.58071,                  1.015,             0.00046226,             0.00046226,             0.00046226
                    148,                0.69449,                0.57564,                0.90262,                0.98148,                      1,                  0.995,                0.81698,                0.78181,                0.52445,                0.99951,             0.00045401,             0.00045401,             0.00045401
                    149,                0.72129,                 0.5759,                0.92713,                0.98224,                      1,                  0.995,                0.79332,                0.82951,                0.53204,                  1.002,             0.00044576,             0.00044576,             0.00044576
                    150,                0.81745,                0.58699,                0.96772,                 0.9833,                      1,                  0.995,                0.79028,                0.83898,                0.52864,                 1.0024,              0.0004375,              0.0004375,              0.0004375
                    151,                0.76037,                 0.5443,                 0.9654,                 0.9841,                      1,                  0.995,                0.80869,                0.79943,                0.51698,                0.99749,             0.00042925,             0.00042925,             0.00042925
                    152,                0.70729,                0.57532,                0.90629,                0.98661,                      1,                  0.995,                0.76629,                0.86758,                0.56781,                 1.0049,               0.000421,               0.000421,               0.000421
                    153,                0.81508,                0.57002,                0.94819,                0.98697,                      1,                  0.995,                0.76612,                 0.8966,                0.58451,                 1.0098,             0.00041275,             0.00041275,             0.00041275
                    154,                0.78321,                0.57192,                0.96446,                0.98543,                      1,                  0.995,                0.79262,                0.85351,                0.56608,                 1.0049,              0.0004045,              0.0004045,              0.0004045
                    155,                0.74004,                0.53655,                 0.9156,                0.98393,                      1,                  0.995,                  0.818,                0.80911,                0.52769,                0.99864,             0.00039625,             0.00039625,             0.00039625
                    156,                0.70924,                0.57855,                0.89076,                0.98492,                      1,                  0.995,                0.79966,                 0.7902,                0.52204,                0.99839,             0.00038799,             0.00038799,             0.00038799
