                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    102,                 1.3097,                 1.2136,                 0.9059,                 0.9894,                0.88399,                0.90546,                 0.5874,                  1.289,                 1.0813,                0.97686,             0.00084184,             0.00084184,             0.00084184
                    103,                 1.2621,                 1.1894,                 0.8955,                0.97933,                0.85621,                0.90188,                0.57129,                 1.3506,                  1.077,                0.98317,             0.00083358,             0.00083358,             0.00083358
                    104,                 1.2979,                 1.2375,                0.93035,                0.97862,                0.85621,                 0.9019,                0.55093,                 1.3987,                  1.116,                 0.9945,             0.00082533,             0.00082533,             0.00082533
                    105,                 1.2996,                 1.1942,                0.92005,                0.97762,                0.85621,                0.90474,                0.55062,                 1.3706,                 1.0836,                0.99201,             0.00081708,             0.00081708,             0.00081708
                    106,                 1.3002,                 1.3241,                0.94023,                0.98302,                0.88399,                0.90554,                0.58257,                 1.2471,                 1.0492,                0.97753,             0.00080883,             0.00080883,             0.00080883
                    107,                 1.3034,                 1.0894,                0.93504,                0.98796,                0.85239,                0.90104,                 0.6124,                  1.211,                 1.0413,                0.97152,             0.00080058,             0.00080058,             0.00080058
                    108,                 1.2496,                 1.1394,                0.90613,                0.97541,                0.85621,                0.90191,                0.60318,                 1.2437,                 1.0453,                0.97146,             0.00079233,             0.00079233,             0.00079233
                    109,                  1.254,                 1.1475,                0.92945,                 0.9784,                0.85621,                 0.9031,                0.56852,                 1.3194,                 1.0719,                 0.9784,             0.00078407,             0.00078407,             0.00078407
                    110,                 1.3017,                 1.3273,                0.89036,                0.98289,                0.85621,                0.90476,                 0.5683,                 1.3106,                 1.0558,                0.97526,             0.00077582,             0.00077582,             0.00077582
                    111,                 1.3002,                 1.2116,                0.93174,                0.98771,                0.85621,                0.90476,                0.61101,                 1.2372,                 1.0738,                0.97332,             0.00076757,             0.00076757,             0.00076757
                    112,                  1.316,                 1.2175,                0.92619,                 0.9924,                0.85621,                 0.9039,                0.61304,                 1.2341,                 1.0717,                 0.9742,             0.00075932,             0.00075932,             0.00075932
                    113,                 1.3697,                 1.2206,                0.94631,                0.98779,                0.87937,                0.90477,                0.59944,                 1.2389,                  1.058,                0.97223,             0.00075107,             0.00075107,             0.00075107
                    114,                 1.3152,                 1.1262,                 0.9572,                0.98849,                0.85621,                0.90168,                0.59081,                 1.2407,                 1.0418,                0.96204,             0.00074282,             0.00074282,             0.00074282
                    115,                 1.2487,                 1.0872,                0.90241,                0.98787,                0.85621,                0.90237,                0.56757,                 1.2645,                  1.082,                0.96351,             0.00073456,             0.00073456,             0.00073456
                    116,                 1.2365,                 1.2333,                0.90614,                0.98656,                0.85621,                0.90057,                0.56839,                 1.2401,                 1.0748,                 0.9657,             0.00072631,             0.00072631,             0.00072631
                    117,                 1.2355,                 1.1319,                 0.8875,                0.98819,                0.85621,                0.90327,                 0.5999,                 1.1932,                 1.0218,                0.96392,             0.00071806,             0.00071806,             0.00071806
                    118,                 1.2429,                 1.1777,                0.90861,                0.98732,                0.85621,                0.90381,                0.60179,                 1.1879,                0.99943,                0.95773,             0.00070981,             0.00070981,             0.00070981
                    119,                 1.2389,                  1.055,                0.90899,                0.98518,                0.85621,                0.90248,                0.57422,                  1.276,                 1.0038,                0.95919,             0.00070156,             0.00070156,             0.00070156
